method,rank,params,rel_mse
LoRA,1,128,0.809273272092843
LeNA,1,146,0.6671945760004044
LoRA,2,256,0.6842744730191109
LeNA,2,292,0.5594066176836897
LoRA,4,512,0.5218989190360114
LeNA,4,584,0.24458634709263674
LoRA,8,1024,0.5222258331618445
LeNA,8,1168,0.07819390067224387
LoRA,16,2048,0.5232685797437723
LeNA,16,2336,0.04605186245545625
LoRA,32,4096,0.5248984424246554
LeNA,32,4672,0.023403552597546073
